"location","rmse_train_pred","rmse_test_pred"
"Argentina",29.1933041584976,516.093087410766
"Australia",76.344770741216,1967.33493223516
"Canada",18.6245619336233,466.041010148243
"Colombia",26.7931734099798,137.710077345386
"Ecuador",3.69257370332744,118.22154467475
"Ethiopia",2.65561336839968,15.4772646774499
"France",204.830090247099,7339.03140644354
"Germany",189.102475118456,5207.85030239661
"India",167.255465151385,1578.98326922769
"Italy",89.1909508166342,2597.69852247095
"Japan",128.146985777991,26710.3792806864
"Mexico",30.5339000938122,616.599447058355
"Morocco",6.30289339954108,14.1180479284325
"Pakistan",6.86954323552548,23.9421968257358
"Philippines",18.9334228715219,386.111612711591
"Russia",92.8669238686773,3494.73274918647
"Saudi Arabia",3.85572714206209,83.8795247280586
"South Africa",19.6121376418335,127.493870095872
"South Korea",152.752463970868,18588.5219319114
"Sri Lanka",3.567637150337,1.69895990203084
"Turkey",67.6538553637163,5.24927874201617
"United Kingdom",85.9425629007618,869.44341390182
"United States",315.009828437349,9086.75628709365
