"location","rmse_pred_train","rmse_pred_test"
"Argentina",3275.75624342762,326.525634700997
"Australia",9923.93311624486,2298.75621798454
"Canada",2217.03073508998,766.296836043745
"Colombia",1862.95149363099,88.268212451016
"Ecuador",1011.60581930962,27.264434801533
"Ethiopia",438.905944980069,9.11815835785331
"France",17218.7576445177,8364.5037542003
"Germany",13670.6340558376,10088.9540977352
"India",20205.7551201802,811.634811686234
"Italy",10861.0295797797,2775.30581113949
"Japan",22072.9844989237,7708.16467717488
"Mexico",5269.06734890329,562.641172904036
"Morocco",1100.0882175166,14.1961707693757
"Pakistan",738.531439584126,31.5224024142828
"Philippines",2751.55786777244,356.351360940463
"Russia",4491.90119211565,1110.89472961373
"Saudi Arabia",496.635253847636,29.0879295805904
"South Africa",2630.91615765533,57.354010133535
"South Korea",12656.070977024,21526.6217791498
"Sri Lanka",263.801886397744,3.97017972986987
"Turkey",4283.00437261619,10.126878527709
"United Kingdom",10689.2647730956,2116.18738382072
"United States",113990.857018807,5119.32056175514
